item_number,subdomain,contrast_note,a_true,b_true,a_hat,b_hat
1,Taxation and wealth inequality,Medium,1.883538467978349,0.3723810779539085,1.7975287039944017,0.4358651217097751
2,Taxation and wealth inequality,More extreme,1.4144298156528734,-1.7740077859473682,1.2732473306187366,-1.8642494084889454
3,Taxation and wealth inequality,Medium,2.0020370878759355,0.1629126790690759,2.124467467685545,0.06453323486223995
4,Taxation and wealth inequality,Medium,1.7763152406831098,-0.1852298530174344,1.4304840487647041,-0.08519471493735012
5,Taxation and wealth inequality,Moderate,0.9318482870427094,0.734777905637904,1.0758525355590327,0.7398480360692206
6,Government spending and public debt,Medium,2.1658712922914587,0.0947356795421428,2.450377520685728,0.11686901160882024
7,Government spending and public debt,Medium,1.8655955827864945,-0.0649607526677358,1.8320920379585317,-0.08914181209999224
8,Government spending and public debt,Moderate,1.9004900273877352,0.7378524631129668,2.0205822938852815,0.8464489711082549
9,Government spending and public debt,Medium,0.9793590857457642,-0.113454674525442,0.9248539931486625,-0.08191383984727565
10,Government spending and public debt,More extreme,1.430540313053794,1.5358511957460084,1.66767439530327,1.5467183771209452
11,Labor markets and worker rights,Medium,1.319117233925614,0.2185759594361653,1.404412068890276,0.133075646150976
12,Labor markets and worker rights,Medium,2.0974709843880426,-0.4163390980289187,2.005714632589384,-0.5075527069986372
13,Labor markets and worker rights,Medium,1.7014111681129305,0.3501325510011245,1.697048797672164,0.2713008649638652
14,Labor markets and worker rights,Moderate,1.9518662585791624,-0.6561833206910206,2.2338065873038433,-0.5286384248815547
15,Labor markets and worker rights,Moderate,1.4207798783582637,0.9161299006976004,1.3328553911969447,0.7810876213455724
16,Healthcare and public services,More extreme,1.1181342104986878,1.6438114859974415,1.0462818194424026,1.772791218135224
17,Healthcare and public services,Medium,1.5764187018221687,-0.1937391895150872,1.3805080804862222,-0.07899089162389261
18,Healthcare and public services,Medium,0.8893441585458455,0.144164051965122,0.7426916761906122,0.2303472637432713
19,Healthcare and public services,Medium,1.958683640789615,-0.3412477519874877,2.161557617051354,-0.370701171881345
20,Healthcare and public services,Moderate,1.6843301587708908,0.5698762418046549,1.4169153218606312,0.6500841932998894
21,Corporate regulation,Medium,1.8613228361195235,0.0999541012375541,1.7985711752674132,0.05526116376337004
22,Corporate regulation,Medium,1.2963363553818157,-0.0036811348755027,1.4159134099871673,0.0700633401534463
23,Corporate regulation,Medium,2.158977234152865,0.3934621887510692,2.3967125647601577,0.44915309962825506
24,Corporate regulation,More extreme,2.050369569851077,-1.5318806852736258,1.994934902936503,-1.4736945071986638
25,Corporate regulation,Moderate,1.8897368959032668,0.8525826893131676,1.849957836355719,0.9126615277604666
26,Trade and economic nationalism,Moderate,1.0724941909927548,0.890364515510984,1.0141936655816484,0.8982814496020983
27,Trade and economic nationalism,Medium,1.453409405217848,-0.2294578877691699,1.7943177992247574,-0.2012794833995443
28,Trade and economic nationalism,Medium,0.8613252721021203,0.2843705979764468,0.9762831040427645,0.3666163068772182
29,Trade and economic nationalism,Medium,1.016005288894567,-0.0698984990638287,0.8532619086590566,-0.054346138783131354
30,Trade and economic nationalism,Moderate,1.7562685345394369,0.5572650367679868,2.155049834650915,0.6356467802584665
