item_number,subdomain,contrast_note,a_true,b_true
1,Taxation & Wealth Inequality,Tax bracket >$1M,2.0,-1.2
2,Taxation & Wealth Inequality,Road repair funding,1.2,0.1
3,Taxation & Wealth Inequality,Estate/inheritance tax,2.2,-1.5
4,Taxation & Wealth Inequality,Income vs. sales tax,0.6,0.2
5,Taxation & Wealth Inequality,Wealth tax,1.1,-0.8
6,Government Spending & Debt,Deficit spending,2.1,0.3
7,Government Spending & Debt,Recession stimulus,0.5,0.0
8,Government Spending & Debt,Public transit funding,1.0,0.2
9,Government Spending & Debt,Defense vs. social cuts,1.0,0.1
10,Government Spending & Debt,Housing subsidies,0.6,0.3
11,Labor Markets & Worker Rights,Minimum wage increase,2.3,-1.0
12,Labor Markets & Worker Rights,Union organizing rights,1.3,-0.5
13,Labor Markets & Worker Rights,Paid family leave mandate,0.5,0.3
14,Labor Markets & Worker Rights,Right-to-work laws,1.1,-0.2
15,Labor Markets & Worker Rights,Executive pay ratios,1.8,-0.7
16,Healthcare & Public Services,Single-payer healthcare,2.4,-1.4
17,Healthcare & Public Services,Drug price negotiation,1.2,-0.4
18,Healthcare & Public Services,Free public college,1.1,-0.3
19,Healthcare & Public Services,Rural broadband access,0.5,0.2
20,Healthcare & Public Services,Public library expansion,0.4,0.4
21,Corporate Regulation,Big tech regulation,1.9,-0.6
22,Corporate Regulation,Worker board representation,1.1,0.0
23,Corporate Regulation,Environmental regulations,1.0,0.3
24,Corporate Regulation,Corporate disclosure,0.6,0.5
25,Corporate Regulation,Financial institution rules,2.0,-0.5
26,Trade & Economic Nationalism,Tariffs on imports,1.8,0.5
27,Trade & Economic Nationalism,Trade agreement conditions,1.2,0.3
28,Trade & Economic Nationalism,Foreign acquisition review,1.0,0.4
29,Trade & Economic Nationalism,Buy American requirement,0.6,0.6
30,Trade & Economic Nationalism,Trade-displaced worker aid,0.5,0.2
